序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1. 您是否了解云南的“三农”政策？ ,2. 您认为抖音短视频对云南农产品的宣传效果如何？ ,3. 您是否曾通过抖音平台购买过云南的农产品？ ,4. 您认为抖音直播带货对云南乡村经济的促进作用如何？ ,5. 您认为云南的农产品在抖音上的展示方式是否吸引消费者？ ,6. 您最关注云南农产品的哪些方面？ ,7. 您认为云南的“三农”政策对电商发展的支持力度如何？ ,8. 您是否参与过云南乡村的电商培训活动？ ,9. 您认为云南乡村电商发展的主要障碍是什么？ ,10. 您对云南三农的抖音短视频内容的质量有何看法？ ,11. 您认为云南农民在使用抖音进行产品推广时遇到的最大困难是什么？ ,12. 您希望云南的“三农”政策在电商领域有哪些改进？ ,13. 您认为未来云南的电商发展趋势如何？ ,14. 您对云南农产品在抖音上的推广方式有何建议？ ,15. 您还有其他想要补充的意见或建议吗？ ,"1. 您是否了解云南的""三农""政策？ ","7. 您认为云南的""三农""政策对电商发展的支持力度如何？ ","12. 您希望云南的""三农""政策在电商领域有哪些改进？ "
215,2025/2/15 15:09,470秒,微信,N/A,223.104.195.58(山东-泰安),,B 一般,A 是,C 没有作用,B 一般,A 价格,,A 是,A 物流问题┋B 技术支持不足,B 一般,A 缺乏技能,,跨境电商机会增多,优化视频内容,重视质量管理,B 否,A 很大,改善农产品质量管理
216,2025/2/16 05:26,63秒,微信,N/A,183.228.148.26(重庆-重庆),,A 非常好,B 否,B 一定程度上,A 非常吸引,A 价格┋B 质量┋C 产地,,B 否,D 政策支持不足,C 较低,B 缺乏资金┋C 缺乏市场信息,,创新模式不断涌现,优化视频内容,继续努力创新,A 是,B 一般,提供更多资金支持
217,2025/2/15 14:23,214秒,微信,N/A,182.102.182.185(江西-南昌),,B 一般,B 否,A 非常大,C 不吸引,A 价格,,A 是,A 物流问题,C 较低,B 缺乏资金,,逐步规范化发展,加强品牌营销,提升服务水平,A 是,B 一般,增加培训支持，提高农民技能
218,2025/2/15 18:11,42秒,微信,N/A,111.60.187.159(湖北-荆州),,B 一般,B 否,A 非常大,C 不吸引,C 产地,,A 是,A 物流问题┋C 市场认知度低,B 一般,B 缺乏资金,,产业链逐步完善,注重用户体验,加强市场调研,B 否,A 很大,加强市场调研分析
219,2025/2/16 05:34,257秒,微信,N/A,223.149.137.53(湖南-怀化),,B 一般,A 是,A 非常大,A 非常吸引,A 价格┋B 质量,,B 否,B 技术支持不足┋C 市场认知度低,C 较低,A 缺乏技能┋B 缺乏资金,,创新模式不断涌现,增加直播互动,保持特色发展,B 否,B 一般,加强市场调研分析
220,2025/2/16 11:54,392秒,微信,N/A,183.228.148.26(重庆-重庆),,C 较差,B 否,B 一定程度上,B 一般,A 价格┋B 质量┋C 产地┋D 品牌,,B 否,C 市场认知度低,C 较低,A 缺乏技能┋C 缺乏市场信息,,需要进一步完善,优化视频内容,看好未来发展,A 是,A 很大,加强品牌建设，提升产品价值
221,2025/2/15 20:04,364秒,微信,N/A,222.219.208.72(云南-文山),,C 较差,B 否,A 非常大,C 不吸引,B 质量,,B 否,A 物流问题┋B 技术支持不足,B 一般,A 缺乏技能┋C 缺乏市场信息,,产业链逐步完善,突出地方特色,保持特色发展,B 否,A 很大,加大推广力度，提高知名度
222,2025/2/15 13:18,485秒,微信,N/A,183.228.148.26(重庆-重庆),,B 一般,B 否,A 非常大,A 非常吸引,A 价格┋B 质量,,A 是,A 物流问题,A 很高,A 缺乏技能,,产业链逐步完善,开展特色活动,重视质量管理,B 否,B 一般,加强电商平台合作
223,2025/2/16 12:34,394秒,微信,N/A,223.149.137.53(湖南-怀化),,C 较差,B 否,B 一定程度上,C 不吸引,A 价格,,A 是,B 技术支持不足┋C 市场认知度低,B 一般,A 缺乏技能┋B 缺乏资金,,产业链逐步完善,提升包装设计,优化运营模式,B 否,C 较小,加强品牌建设，提升产品价值
224,2025/2/15 19:25,318秒,微信,N/A,39.144.220.33(重庆-重庆),,A 非常好,B 否,B 一定程度上,A 非常吸引,A 价格,,A 是,A 物流问题┋C 市场认知度低,C 较低,D 缺乏平台支持,,产业链逐步完善,提升包装设计,优化运营模式,A 是,C 较小,加强市场调研分析
225,2025/2/16 12:05,487秒,微信,N/A,182.102.182.185(江西-南昌),,A 非常好,A 是,B 一定程度上,C 不吸引,D 品牌,,B 否,D 政策支持不足,A 很高,A 缺乏技能┋C 缺乏市场信息,,创新模式不断涌现,优化视频内容,期待更多支持,A 是,B 一般,加强市场调研分析
226,2025/2/15 17:12,219秒,微信,N/A,182.102.182.185(江西-南昌),,A 非常好,B 否,C 没有作用,B 一般,C 产地,,A 是,C 市场认知度低,C 较低,B 缺乏资金,,持续稳定增长,突出地方特色,期待更多支持,A 是,B 一般,增加培训支持，提高农民技能
227,2025/2/15 19:43,106秒,微信,N/A,43.250.244.162(广西-南宁),,C 较差,A 是,B 一定程度上,C 不吸引,C 产地,,A 是,B 技术支持不足,A 很高,A 缺乏技能,,产业链逐步完善,注重用户体验,期待更多支持,A 是,B 一般,增加培训支持，提高农民技能
228,2025/2/15 21:19,332秒,微信,N/A,223.149.137.53(湖南-怀化),,A 非常好,B 否,B 一定程度上,B 一般,A 价格,,A 是,A 物流问题┋C 市场认知度低,A 很高,A 缺乏技能┋B 缺乏资金,,市场潜力巨大,创新营销方式,继续努力创新,B 否,C 较小,加强品牌建设，提升产品价值
229,2025/2/15 18:56,297秒,微信,N/A,39.144.220.33(重庆-重庆),,C 较差,A 是,A 非常大,A 非常吸引,D 品牌,,B 否,B 技术支持不足,C 较低,A 缺乏技能┋C 缺乏市场信息,,品牌价值提升,开展特色活动,提升服务水平,B 否,A 很大,加大推广力度，提高知名度
230,2025/2/15 21:13,36秒,微信,N/A,39.144.220.33(重庆-重庆),,C 较差,B 否,C 没有作用,B 一般,A 价格,,A 是,A 物流问题,C 较低,D 缺乏平台支持,,发展前景广阔,增加直播互动,重视质量管理,B 否,C 较小,优化销售渠道
231,2025/2/16 02:42,348秒,微信,N/A,39.144.69.212(海南-海口),,B 一般,B 否,C 没有作用,B 一般,A 价格┋B 质量┋C 产地┋D 品牌,,B 否,D 政策支持不足,C 较低,A 缺乏技能┋B 缺乏资金,,数字化转型加速,突出地方特色,提升服务水平,B 否,B 一般,改善农产品质量管理
232,2025/2/16 12:57,338秒,微信,N/A,43.250.244.162(广西-南宁),,B 一般,A 是,B 一定程度上,A 非常吸引,B 质量,,A 是,B 技术支持不足┋C 市场认知度低,B 一般,D 缺乏平台支持,,逐步规范化发展,创新营销方式,保持特色发展,A 是,C 较小,优化销售渠道
233,2025/2/16 05:30,303秒,微信,N/A,222.219.208.72(云南-文山),,B 一般,B 否,C 没有作用,C 不吸引,A 价格┋B 质量,,B 否,B 技术支持不足┋C 市场认知度低,B 一般,B 缺乏资金┋C 缺乏市场信息,,持续稳定增长,增加直播互动,期待更多支持,A 是,C 较小,增加培训支持，提高农民技能
234,2025/2/15 19:11,452秒,微信,N/A,183.228.148.26(重庆-重庆),,B 一般,A 是,B 一定程度上,B 一般,A 价格┋B 质量,,B 否,A 物流问题┋B 技术支持不足,B 一般,A 缺乏技能,,持续稳定增长,开展特色活动,期待更多支持,A 是,B 一般,加强品牌建设，提升产品价值
235,2025/2/15 15:42,272秒,微信,N/A,39.144.220.33(重庆-重庆),,C 较差,A 是,C 没有作用,B 一般,A 价格,,A 是,A 物流问题,C 较低,C 缺乏市场信息,,数字化转型加速,建立信任机制,重视质量管理,A 是,C 较小,提升农产品包装设计
236,2025/2/15 15:49,264秒,微信,N/A,223.104.195.58(山东-泰安),,B 一般,B 否,B 一定程度上,C 不吸引,A 价格┋B 质量┋C 产地,,A 是,C 市场认知度低,A 很高,A 缺乏技能┋C 缺乏市场信息,,发展前景广阔,优化视频内容,继续努力创新,B 否,C 较小,加强市场调研分析
237,2025/2/15 14:39,105秒,微信,N/A,43.250.244.162(广西-南宁),,B 一般,A 是,B 一定程度上,C 不吸引,A 价格┋B 质量,,B 否,A 物流问题┋C 市场认知度低,A 很高,C 缺乏市场信息,,发展前景广阔,开展特色活动,继续努力创新,A 是,B 一般,提供更多资金支持
238,2025/2/15 19:38,386秒,微信,N/A,111.60.187.159(湖北-荆州),,A 非常好,A 是,C 没有作用,C 不吸引,C 产地,,B 否,B 技术支持不足┋C 市场认知度低,B 一般,D 缺乏平台支持,,发展前景广阔,加强产品质量展示,优化运营模式,B 否,B 一般,完善物流体系，提升配送效率
239,2025/2/15 14:38,494秒,微信,N/A,183.228.148.26(重庆-重庆),,B 一般,A 是,C 没有作用,A 非常吸引,A 价格,,A 是,D 政策支持不足,A 很高,C 缺乏市场信息,,需要进一步完善,加强品牌营销,看好未来发展,B 否,A 很大,提供更多资金支持
240,2025/2/16 08:04,98秒,微信,N/A,182.102.182.185(江西-南昌),,C 较差,B 否,C 没有作用,B 一般,A 价格┋B 质量,,A 是,A 物流问题,A 很高,B 缺乏资金,,需要进一步完善,增加直播互动,看好未来发展,B 否,A 很大,加强品牌建设，提升产品价值
241,2025/2/16 00:10,39秒,微信,N/A,114.254.3.207(北京-北京),,A 非常好,A 是,A 非常大,C 不吸引,A 价格┋B 质量,,A 是,C 市场认知度低,C 较低,D 缺乏平台支持,,市场潜力巨大,注重用户体验,继续努力创新,B 否,B 一般,完善物流体系，提升配送效率
242,2025/2/15 21:54,179秒,微信,N/A,125.43.77.248(河南-洛阳),,B 一般,A 是,C 没有作用,B 一般,A 价格,,B 否,C 市场认知度低,C 较低,D 缺乏平台支持,,逐步规范化发展,提升包装设计,继续努力创新,A 是,B 一般,加强电商平台合作
243,2025/2/16 02:47,54秒,微信,N/A,114.254.3.207(北京-北京),,B 一般,B 否,C 没有作用,B 一般,B 质量,,A 是,D 政策支持不足,A 很高,A 缺乏技能┋B 缺乏资金,,发展前景广阔,建立信任机制,优化运营模式,B 否,C 较小,优化销售渠道
244,2025/2/16 01:16,134秒,微信,N/A,125.43.77.248(河南-洛阳),,C 较差,B 否,C 没有作用,C 不吸引,C 产地,,B 否,C 市场认知度低,B 一般,D 缺乏平台支持,,发展前景广阔,增加直播互动,优化运营模式,B 否,B 一般,提供更多资金支持
245,2025/2/15 14:10,191秒,微信,N/A,223.149.137.53(湖南-怀化),,B 一般,A 是,C 没有作用,C 不吸引,A 价格┋B 质量┋C 产地,,A 是,A 物流问题,C 较低,A 缺乏技能,,数字化转型加速,增加直播互动,保持特色发展,B 否,B 一般,提供更多资金支持
246,2025/2/15 13:02,436秒,微信,N/A,39.144.69.212(海南-海口),,A 非常好,B 否,C 没有作用,B 一般,C 产地,,A 是,C 市场认知度低,A 很高,A 缺乏技能┋B 缺乏资金,,创新模式不断涌现,创新营销方式,继续努力创新,A 是,C 较小,优化销售渠道
247,2025/2/16 08:06,380秒,微信,N/A,43.250.244.162(广西-南宁),,B 一般,B 否,C 没有作用,B 一般,A 价格┋B 质量┋C 产地┋D 品牌,,A 是,A 物流问题┋C 市场认知度低,C 较低,A 缺乏技能┋B 缺乏资金,,产业链逐步完善,突出地方特色,无建议,B 否,A 很大,增加培训支持，提高农民技能
248,2025/2/16 11:24,150秒,微信,N/A,39.144.220.33(重庆-重庆),,A 非常好,A 是,A 非常大,B 一般,C 产地,,B 否,C 市场认知度低,B 一般,A 缺乏技能┋B 缺乏资金,,发展前景广阔,加强品牌营销,期待更多支持,B 否,B 一般,完善物流体系，提升配送效率
249,2025/2/16 00:37,172秒,微信,N/A,183.138.163.182(浙江-温州),,C 较差,B 否,B 一定程度上,C 不吸引,B 质量,,A 是,A 物流问题┋C 市场认知度低,B 一般,D 缺乏平台支持,,发展前景广阔,开展特色活动,无建议,B 否,B 一般,完善物流体系，提升配送效率
250,2025/2/16 07:38,328秒,微信,N/A,223.104.195.58(山东-泰安),,C 较差,B 否,B 一定程度上,A 非常吸引,A 价格┋B 质量┋C 产地┋D 品牌,,B 否,D 政策支持不足,B 一般,A 缺乏技能┋C 缺乏市场信息,,产业链逐步完善,提升包装设计,看好未来发展,B 否,C 较小,改善农产品质量管理
251,2025/2/16 02:26,471秒,微信,N/A,125.43.77.248(河南-洛阳),,B 一般,B 否,A 非常大,B 一般,D 品牌,,A 是,A 物流问题┋C 市场认知度低,C 较低,A 缺乏技能┋C 缺乏市场信息,,逐步规范化发展,注重用户体验,优化运营模式,B 否,B 一般,完善物流体系，提升配送效率
252,2025/2/16 04:13,65秒,微信,N/A,223.104.195.58(山东-泰安),,A 非常好,B 否,C 没有作用,A 非常吸引,A 价格┋B 质量,,A 是,A 物流问题┋B 技术支持不足,A 很高,D 缺乏平台支持,,逐步规范化发展,创新营销方式,保持特色发展,A 是,C 较小,改善农产品质量管理
253,2025/2/15 19:22,335秒,微信,N/A,223.149.137.53(湖南-怀化),,B 一般,A 是,A 非常大,B 一般,A 价格┋B 质量┋C 产地,,A 是,C 市场认知度低,A 很高,D 缺乏平台支持,,品牌价值提升,创新营销方式,提升服务水平,B 否,B 一般,提供更多资金支持
254,2025/2/16 10:23,35秒,微信,N/A,114.254.3.207(北京-北京),,A 非常好,A 是,B 一定程度上,B 一般,C 产地,,A 是,C 市场认知度低,C 较低,D 缺乏平台支持,,创新模式不断涌现,创新营销方式,继续努力创新,A 是,A 很大,加强电商平台合作
255,2025/2/15 20:23,218秒,微信,N/A,125.43.77.248(河南-洛阳),,C 较差,B 否,A 非常大,A 非常吸引,B 质量,,A 是,B 技术支持不足,B 一般,A 缺乏技能┋B 缺乏资金,,需要进一步完善,突出地方特色,优化运营模式,A 是,C 较小,优化销售渠道
256,2025/2/16 11:05,313秒,微信,N/A,125.43.77.248(河南-洛阳),,A 非常好,A 是,A 非常大,A 非常吸引,A 价格┋B 质量┋C 产地,,A 是,B 技术支持不足┋C 市场认知度低,C 较低,A 缺乏技能,,品牌价值提升,建立信任机制,无建议,A 是,B 一般,完善物流体系，提升配送效率
257,2025/2/15 15:56,268秒,微信,N/A,183.228.148.26(重庆-重庆),,A 非常好,B 否,C 没有作用,A 非常吸引,A 价格┋B 质量,,A 是,A 物流问题,C 较低,B 缺乏资金┋C 缺乏市场信息,,产业链逐步完善,突出地方特色,提升服务水平,B 否,A 很大,提供更多资金支持
258,2025/2/16 04:25,125秒,微信,N/A,222.219.208.72(云南-文山),,C 较差,A 是,C 没有作用,C 不吸引,D 品牌,,A 是,B 技术支持不足┋C 市场认知度低,C 较低,A 缺乏技能┋B 缺乏资金,,持续稳定增长,增加直播互动,加强市场调研,B 否,B 一般,加大推广力度，提高知名度
259,2025/2/16 01:42,177秒,微信,N/A,111.60.187.159(湖北-荆州),,A 非常好,A 是,C 没有作用,B 一般,A 价格┋B 质量┋C 产地┋D 品牌,,A 是,B 技术支持不足┋C 市场认知度低,B 一般,C 缺乏市场信息,,产业链逐步完善,提升包装设计,继续努力创新,A 是,A 很大,完善物流体系，提升配送效率
260,2025/2/15 18:58,85秒,微信,N/A,111.60.187.159(湖北-荆州),,B 一般,A 是,B 一定程度上,B 一般,A 价格┋B 质量┋C 产地,,B 否,A 物流问题┋B 技术支持不足,B 一般,A 缺乏技能,,产业链逐步完善,创新营销方式,看好未来发展,B 否,A 很大,完善物流体系，提升配送效率
261,2025/2/16 12:06,464秒,微信,N/A,125.43.77.248(河南-洛阳),,C 较差,B 否,C 没有作用,B 一般,B 质量,,A 是,D 政策支持不足,A 很高,B 缺乏资金,,持续稳定增长,加强产品质量展示,无建议,B 否,A 很大,提升农产品包装设计
262,2025/2/15 21:01,149秒,微信,N/A,43.250.244.162(广西-南宁),,A 非常好,A 是,A 非常大,C 不吸引,A 价格┋B 质量┋C 产地┋D 品牌,,B 否,C 市场认知度低,C 较低,A 缺乏技能┋C 缺乏市场信息,,品牌价值提升,突出地方特色,提升服务水平,B 否,B 一般,加大推广力度，提高知名度
263,2025/2/15 15:56,429秒,微信,N/A,182.102.182.185(江西-南昌),,C 较差,B 否,B 一定程度上,A 非常吸引,B 质量,,B 否,A 物流问题┋B 技术支持不足,A 很高,B 缺乏资金,,数字化转型加速,优化视频内容,无建议,A 是,C 较小,提供更多资金支持
264,2025/2/15 14:21,369秒,微信,N/A,125.43.77.248(河南-洛阳),,B 一般,B 否,C 没有作用,C 不吸引,A 价格┋B 质量,,A 是,B 技术支持不足┋C 市场认知度低,C 较低,B 缺乏资金,,持续稳定增长,加强品牌营销,重视质量管理,B 否,B 一般,增加培训支持，提高农民技能
265,2025/2/15 20:45,249秒,微信,N/A,223.149.137.53(湖南-怀化),,B 一般,A 是,C 没有作用,C 不吸引,A 价格,,A 是,A 物流问题┋C 市场认知度低,A 很高,C 缺乏市场信息,,发展前景广阔,创新营销方式,看好未来发展,B 否,A 很大,改善农产品质量管理
266,2025/2/16 11:53,179秒,微信,N/A,183.138.163.182(浙江-温州),,C 较差,A 是,A 非常大,C 不吸引,A 价格┋B 质量┋C 产地┋D 品牌,,A 是,C 市场认知度低,B 一般,A 缺乏技能┋B 缺乏资金,,跨境电商机会增多,建立信任机制,建议加强培训,B 否,A 很大,完善物流体系，提升配送效率
267,2025/2/15 18:14,238秒,微信,N/A,111.60.187.159(湖北-荆州),,C 较差,B 否,C 没有作用,B 一般,A 价格┋B 质量┋C 产地,,B 否,A 物流问题┋B 技术支持不足,A 很高,C 缺乏市场信息,,逐步规范化发展,建立信任机制,建议加强培训,B 否,A 很大,加强品牌建设，提升产品价值
268,2025/2/16 12:38,484秒,微信,N/A,183.228.148.26(重庆-重庆),,A 非常好,A 是,B 一定程度上,C 不吸引,A 价格┋B 质量,,A 是,A 物流问题┋C 市场认知度低,B 一般,A 缺乏技能┋B 缺乏资金,,市场潜力巨大,注重用户体验,看好未来发展,A 是,B 一般,优化销售渠道
269,2025/2/15 16:11,87秒,微信,N/A,43.250.244.162(广西-南宁),,B 一般,A 是,B 一定程度上,B 一般,C 产地,,B 否,D 政策支持不足,A 很高,B 缺乏资金┋C 缺乏市场信息,,数字化转型加速,创新营销方式,继续努力创新,A 是,A 很大,加大推广力度，提高知名度
270,2025/2/15 20:11,438秒,微信,N/A,114.254.3.207(北京-北京),,B 一般,A 是,B 一定程度上,A 非常吸引,A 价格,,A 是,B 技术支持不足,A 很高,A 缺乏技能,,产业链逐步完善,建立信任机制,无建议,B 否,C 较小,完善物流体系，提升配送效率
271,2025/2/16 11:28,239秒,微信,N/A,182.102.182.185(江西-南昌),,A 非常好,A 是,A 非常大,B 一般,A 价格┋B 质量┋C 产地,,B 否,B 技术支持不足,B 一般,A 缺乏技能┋C 缺乏市场信息,,跨境电商机会增多,创新营销方式,看好未来发展,A 是,B 一般,加强品牌建设，提升产品价值
272,2025/2/16 01:17,118秒,微信,N/A,222.219.208.72(云南-文山),,C 较差,B 否,C 没有作用,C 不吸引,A 价格,,B 否,B 技术支持不足,B 一般,B 缺乏资金┋C 缺乏市场信息,,产业链逐步完善,优化视频内容,提升服务水平,B 否,C 较小,加强市场调研分析
273,2025/2/16 07:28,492秒,微信,N/A,223.149.137.53(湖南-怀化),,B 一般,A 是,B 一定程度上,A 非常吸引,A 价格┋B 质量,,A 是,A 物流问题┋C 市场认知度低,B 一般,C 缺乏市场信息,,持续稳定增长,建立信任机制,优化运营模式,A 是,B 一般,提供更多资金支持
274,2025/2/16 02:32,395秒,微信,N/A,183.138.163.182(浙江-温州),,B 一般,A 是,A 非常大,B 一般,C 产地,,A 是,A 物流问题,A 很高,D 缺乏平台支持,,创新模式不断涌现,建立信任机制,建议加强培训,A 是,C 较小,加强品牌建设，提升产品价值
